NCE,NUME_CE,NSV,SVSPEC,ADRESA,NUME_L,SIRUTA,TIP_L,MEDIU_L,A_SVD,AIP_SVD,AIS_SVD,AP_SVD,APP_SV,APS1_SV,APS2_SV,TVE_SV,VN_SV,BVP_SV,BVN_SV,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65
16,DAMBOVITA,0,0,,,0,,0,438169,425825,12344,276810,244722,12344,19744,258351,18325,465217,188196,0,79508,442,1263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645,0,1473,575,0,0,0,0,0,2854,3093,502,1297,0,0,2489,2728,5018,0,0,31935,0,0,3262,2977,1777,0,0,0,0,0,0,0,0,0,0,418,0,0,115264,831,0,0,0,0
17,DOLJ,0,0,,,0,,0,605890,592915,12975,352724,316078,12664,23982,326483,25979,676061,323351,0,100056,413,796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,0,950,2926,0,0,0,0,0,1985,3799,1508,1766,1085,0,5309,1281,4995,0,0,44316,0,1548,0,4417,734,0,0,834,0,0,0,0,0,0,0,482,0,0,145729,1177,0,0,0,0
18,GALATI,0,0,,,0,,0,527070,510403,16667,306155,275630,16644,13881,289672,16373,579331,273225,0,92065,1018,1278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,1498,1376,0,0,0,0,0,2353,2587,779,0,983,0,3380,1437,5221,0,0,43535,0,652,0,1126,2138,0,0,3351,0,0,0,0,0,0,0,495,0,0,123245,789,0,0,0,0
19,GIURGIU,0,0,,,0,,0,239901,230352,9549,140312,120505,9547,10260,130260,10023,258297,117962,0,30890,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,286,769,0,0,0,0,0,1078,1036,281,1061,292,0,1176,0,3102,0,0,16994,0,322,775,676,377,0,0,743,0,0,0,0,0,0,0,215,0,0,69259,234,0,0,0,0
20,GORJ,0,0,,,0,,0,305846,293939,11907,178846,153387,11715,13744,170571,8233,330388,151571,0,42192,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,1155,0,0,0,0,0,1460,1416,0,2128,304,0,1923,410,4164,0,0,46023,0,682,1520,525,396,0,0,1406,0,0,0,0,0,0,0,341,0,0,62772,670,0,0,0,0
21,HARGHITA,0,0,,,0,,0,272476,268271,4205,163811,149491,4205,10115,157042,6742,296902,132282,0,7187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4201,233,0,0,0,0,0,473,468,640,0,539,0,472,0,878,0,0,5199,0,203,393,572,0,0,0,0,0,0,0,0,0,0,0,124069,0,0,10868,647,0,0,0,0
22,HUNEDOARA,0,0,,,0,,0,418640,408722,9918,249320,225642,9683,13995,239586,9505,461084,211936,0,72903,1068,1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,885,0,1413,1013,0,0,0,0,0,3894,2579,0,0,0,0,5571,0,5894,0,0,40524,0,0,0,1952,1848,0,0,3254,0,0,0,0,0,0,0,10095,0,0,84374,1108,0,0,0,0
23,IALOMITA,0,0,,,0,,0,245421,239644,5777,146192,131461,5698,9033,134073,12065,264840,118207,0,37415,372,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,808,251,0,0,0,0,0,782,1685,308,941,332,0,1362,1008,3511,0,0,17030,0,319,1202,1429,210,0,0,1138,0,0,0,0,0,0,0,218,0,0,62147,431,0,0,0,0
24,IASI,0,0,,,0,,0,675584,647064,28520,397613,341871,28078,27664,373480,23948,748084,350449,0,120161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,0,1235,1045,0,0,0,0,0,3229,0,618,2920,1768,0,3608,2302,8637,0,0,40692,0,684,2788,1967,0,0,0,2351,0,0,0,0,0,0,0,811,0,0,176626,1397,0,0,0,0
25,ILFOV,0,0,,,0,,0,242416,230520,11896,141922,112941,11734,17247,133997,7723,254925,113026,0,44668,264,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,442,195,0,0,0,0,0,483,892,378,708,221,0,1820,0,4242,0,0,14952,0,195,536,596,107,0,0,668,0,0,0,0,0,0,0,258,0,0,60797,597,0,0,0,0
